species             setosa  versicolor  virginica
sepal_length count   50.00       50.00      50.00
             mean     5.01        5.94       6.59
             std      0.35        0.52       0.64
             min      4.30        4.90       4.90
             25%      4.80        5.60       6.22
             50%      5.00        5.90       6.50
             75%      5.20        6.30       6.90
             max      5.80        7.00       7.90
sepal_width  count   50.00       50.00      50.00
             mean     3.43        2.77       2.97
             std      0.38        0.31       0.32
             min      2.30        2.00       2.20
             25%      3.20        2.52       2.80
             50%      3.40        2.80       3.00
             75%      3.68        3.00       3.18
             max      4.40        3.40       3.80
petal_length count   50.00       50.00      50.00
             mean     1.46        4.26       5.55
             std      0.17        0.47       0.55
             min      1.00        3.00       4.50
             25%      1.40        4.00       5.10
             50%      1.50        4.35       5.55
             75%      1.58        4.60       5.88
             max      1.90        5.10       6.90
petal_width  count   50.00       50.00      50.00
             mean     0.25        1.33       2.03
             std      0.11        0.20       0.27
             min      0.10        1.00       1.40
             25%      0.20        1.20       1.80
             50%      0.20        1.30       2.00
             75%      0.30        1.50       2.30
             max      0.60        1.80       2.50
